timestamp,buyPrice,timestamp2,sellPrice,buyGradient,buyGradient_norm,buyGradient2,buyGradient_roll1dmean,diurnal,next_time
2022-01-30 16:00:00,52044.71055556,2022-01-30 16:00:00,0,0.0007450637354321107,0.3657298502837238,0.0002966030427778155,0.0630942617160309,0.7824007827767149,2022-02-02 00:30:00
2022-01-30 16:45:00,51745.30080586,2022-01-30 16:45:00,0,-0.0018482083314814606,-0.90723105181575,-0.0025932720669135712,0.030750084598304868,0.5738838205956451,2022-02-02 00:30:00
2022-01-30 17:15:00,51668.0386121,2022-01-30 17:15:00,0,-0.0007153906829630109,-0.3511642225113682,0.0011328176485184498,0.018430268239928316,0.5200763612513055,2022-02-02 00:30:00
2022-01-30 17:45:00,51601.48347267,2022-01-30 17:45:00,0,-0.0006162512910185022,-0.3024996140372273,9.913939194450868e-05,0.008401209418767203,0.4737255810733515,2022-02-01 03:00:00
2022-01-30 18:30:00,51846.5839924,2022-01-30 18:30:00,0,0.0015129661711728625,0.7426705460929109,0.0021292174621913647,0.030651795378589742,0.6444201421366124,2022-02-02 00:30:00
2022-01-30 19:15:00,51883.15017094,2022-01-30 19:15:00,0,0.00022571715148148576,0.11079790371211051,-0.0012872490196913766,0.03300903385898741,0.6698858074176239,2022-02-02 00:30:00
2022-01-30 19:45:00,51756.26004367,2022-01-30 19:45:00,0,-0.0011749085858333542,-0.5767280311189538,-0.00140062573731484,0.015587974859617664,0.5815161270861672,2022-02-02 00:30:00
2022-01-30 20:30:00,51792.96944828,2022-01-30 20:30:00,0,0.00022660126302466387,0.11123188803713355,0.001401509848858018,0.018244750225659773,0.6070815388351892,2022-02-02 00:30:00
2022-01-30 21:00:00,51550.18557093,2022-01-30 21:00:00,0,-0.0022479988643518247,-1.1034764530856545,-0.0024746001273764887,-0.012072039053024395,0.4380003495209209,2022-02-01 01:45:00
2022-01-30 21:45:00,51645.41003534,2022-01-30 21:45:00,0,0.0005878053358641926,0.28853633220640584,0.0028358042002160173,-0.02630709607827472,0.5043172148333822,2022-02-01 03:00:00
2022-01-30 22:30:00,51413.41303754,2022-01-30 22:30:00,0,-0.0014320802333333384,-0.702966020789514,-0.002019885569197531,-0.05478475021908539,0.34274829710489896,2022-02-01 01:45:00
