,Unnamed: 0,date,price,sellPrice
135,135,2021-12-09 15:00:00,"S$ 3,647.70974359",0
136,136,2021-12-09 15:45:00,"S$ 3,679.70767241",0
137,137,2021-12-09 16:30:00,"S$ 3,650.90869565",0
138,138,2021-12-09 17:15:00,"S$ 3,646.20076923",0
139,139,2021-12-09 18:00:00,"S$ 3,620.48649123",0
140,140,2021-12-09 18:45:00,"S$ 3,632.42642857",0
141,141,2021-12-09 19:30:00,"S$ 3,611.69573913",0
142,142,2021-12-09 20:15:00,"S$ 3,639.58617886",0
143,143,2021-12-09 21:00:00,"S$ 3,618.52008403",0
144,144,2021-12-09 21:45:00,"S$ 3,623.97235294",0
145,145,2021-12-09 22:15:00,"S$ 3,601.78931624",0
146,146,2021-12-09 23:00:00,"S$ 3,562.59122807",0
147,147,2021-12-09 23:45:00,"S$ 3,519.53728972",0
148,148,2021-12-10 00:15:00,"S$ 3,517.31327273",0
149,149,2021-12-10 01:00:00,"S$ 3,529.11550459",0
150,150,2021-12-10 01:45:00,"S$ 3,489.88228814",0
151,151,2021-12-10 02:15:00,"S$ 3,466.88615385",0
152,152,2021-12-10 02:45:00,"S$ 3,452.88585366",0
153,153,2021-12-10 03:30:00,"S$ 3,463.67422414",0
154,154,2021-12-10 04:15:00,"S$ 3,449.74697248",0
155,155,2021-12-10 05:00:00,"S$ 3,460.18336207",0
156,156,2021-12-10 05:45:00,"S$ 3,480.35209091",0
157,157,2021-12-10 06:30:00,"S$ 3,487.43894737",0
158,158,2021-12-10 07:00:00,"S$ 3,491.41216667",0
159,159,2021-12-10 07:45:00,"S$ 3,473.00160714",0
160,160,2021-12-10 08:15:00,"S$ 3,490.95128205",0
161,161,2021-12-10 09:00:00,"S$ 3,455.53747664",0
162,162,2021-12-10 09:45:00,"S$ 3,489.86644628",0
163,163,2021-12-10 10:30:00,"S$ 3,488.59685950",0
164,164,2021-12-10 11:15:00,"S$ 3,475.85642202",0
165,165,2021-12-10 12:00:00,"S$ 3,471.19851485",0
166,166,2021-12-10 12:30:00,"S$ 3,492.54431193",0
167,167,2021-12-10 13:00:00,"S$ 3,483.67277778",0
168,168,2021-12-10 13:45:00,"S$ 3,477.05770642",0
169,169,2021-12-10 14:30:00,"S$ 3,474.85313725",0
170,170,2021-12-10 15:15:00,"S$ 3,410.22849057",0
171,171,2021-12-10 16:00:00,"S$ 3,413.25305556",0
172,172,2021-12-10 16:45:00,"S$ 3,421.94270270",0
173,173,2021-12-10 17:15:00,"S$ 3,442.00166667",0
174,174,2021-12-10 18:00:00,"S$ 3,483.24942857",0
175,175,2021-12-10 18:45:00,"S$ 3,458.00190476",0
176,176,2021-12-10 19:30:00,"S$ 3,499.81044118",0
177,177,2021-12-10 20:00:00,"S$ 3,527.54191176",0
178,178,2021-12-10 20:45:00,"S$ 3,534.78914729",0
179,179,2021-12-10 21:15:00,"S$ 3,517.86078125",0
180,180,2021-12-10 22:00:00,"S$ 3,559.09884615",0
181,181,2021-12-10 22:45:00,"S$ 3,439.07804688",0
182,182,2021-12-10 23:30:00,"S$ 3,370.12717742",0
183,183,2021-12-11 00:15:00,"S$ 3,332.48359155",0
184,184,2021-12-11 01:00:00,"S$ 3,347.18507353",0
185,185,2021-12-11 01:30:00,"S$ 3,337.32147059",0
186,186,2021-12-11 02:00:00,"S$ 3,354.59541353",0
187,187,2021-12-11 02:45:00,"S$ 3,325.41963504",0
188,188,2021-12-11 03:30:00,"S$ 3,318.76330986",0
189,189,2021-12-11 04:15:00,"S$ 3,327.26659420",0
190,190,2021-12-11 05:00:00,"S$ 3,337.92929688",0
191,191,2021-12-11 05:30:00,"S$ 3,336.71640845",0
192,192,2021-12-11 06:15:00,"S$ 3,303.70248175",0
193,193,2021-12-11 07:00:00,"S$ 3,282.23607143",0
194,194,2021-12-11 07:45:00,"S$ 3,234.24659574",0
195,195,2021-12-11 08:30:00,"S$ 3,224.48772059",0
196,196,2021-12-11 09:15:00,"S$ 3,218.43825175",0
197,197,2021-12-11 10:00:00,"S$ 3,224.82680000",0
198,198,2021-12-11 10:30:00,"S$ 3,220.10325397",0
199,199,2021-12-11 11:15:00,"S$ 3,275.61280992",0
200,200,2021-12-11 11:45:00,"S$ 3,263.88648855",0
201,201,2021-12-11 12:30:00,"S$ 3,267.49664122",0
202,202,2021-12-11 13:00:00,"S$ 3,285.29500000",0
203,203,2021-12-11 13:45:00,"S$ 3,293.19695313",0
204,204,2021-12-11 14:30:00,"S$ 3,270.02775362",0
205,205,2021-12-11 15:15:00,"S$ 3,270.09083969",0
206,206,2021-12-11 15:45:00,"S$ 3,275.50634328",0
207,207,2021-12-11 16:30:00,"S$ 3,338.80669065",0
208,208,2021-12-11 17:00:00,"S$ 3,302.87082707",0
209,209,2021-12-11 17:30:00,"S$ 3,323.57840580",0
210,210,2021-12-11 18:15:00,"S$ 3,326.48021127",0
211,211,2021-12-11 19:00:00,"S$ 3,346.62616541",0
212,212,2021-12-11 19:45:00,"S$ 3,328.03553846",0
213,213,2021-12-11 20:30:00,"S$ 3,339.09314516",0
214,214,2021-12-11 21:15:00,"S$ 3,320.80410853",0
215,215,2021-12-11 21:45:00,"S$ 3,288.99646154",0
216,216,2021-12-11 22:30:00,"S$ 3,290.23561983",0
217,217,2021-12-11 23:15:00,"S$ 3,310.98507692",0
218,218,2021-12-11 23:45:00,"S$ 3,317.16023622",0
219,219,2021-12-12 00:30:00,"S$ 3,367.65726563",0
220,220,2021-12-12 01:00:00,"S$ 3,347.15024793",0
221,221,2021-12-12 01:30:00,"S$ 3,342.29671875",0
222,222,2021-12-12 02:15:00,"S$ 3,322.34363636",0
223,223,2021-12-12 02:45:00,"S$ 3,337.76732283",0
224,224,2021-12-12 03:15:00,"S$ 3,322.01386364",0
225,225,2021-12-12 04:00:00,"S$ 3,286.04231884",0
226,226,2021-12-12 04:45:00,"S$ 3,300.04846154",0
227,227,2021-12-12 05:15:00,"S$ 3,285.93609023",0
228,228,2021-12-12 06:00:00,"S$ 3,331.01036232",0
229,229,2021-12-12 06:45:00,"S$ 3,341.99256000",0
230,230,2021-12-12 07:15:00,"S$ 3,350.40288000",0
231,231,2021-12-12 08:00:00,"S$ 3,359.01823077",0
232,232,2021-12-12 08:45:00,"S$ 3,336.30857143",0
233,233,2021-12-12 09:15:00,"S$ 3,331.04016129",0
234,234,2021-12-12 09:45:00,"S$ 3,322.78636364",0
235,235,2021-12-12 10:15:00,"S$ 3,314.66310606",0
236,236,2021-12-12 10:45:00,"S$ 3,311.16709677",0
237,237,2021-12-12 11:15:00,"S$ 3,310.99161017",0
238,238,2021-12-12 12:00:00,"S$ 3,306.61464567",0
239,239,2021-12-12 12:45:00,"S$ 3,283.37047244",0
240,240,2021-12-12 12:45:00,"S$ 3,283.37047244",0
241,241,,"S$ 3,283.37047244",0
