,coin,type,price,qty,timestamp,amount,temp
62,EGLD ,SGD Buy Instant Order,374.593,0.01321434,2021-12-06 21:28:34,5,
7,EGLD ,SGD Buy Instant Order,188.961,0.02619588,2022-01-23 18:59:42,5,
140,ENJ,ENJ Swap Instant Order,,1.0433347,2021-11-07 21:06:10,,
92,ENJ,ENJ Swap Instant Order,,0.89481902,2021-12-01 01:05:00,,
74,ENJ,ENJ Swap Instant Order,,1.00523941,2021-12-04 16:32:23,,
63,ENJ,ENJ Swap Instant Order,,2.02530675,2021-12-06 01:03:20,,
150,ENJ ,SGD Buy Instant Order,3.91922,1.26300641,2021-11-03 19:57:27,5,
154,ENJ ,SGD Buy Instant Order,3.91922,1.26300641,2021-11-03 19:57:27,5,
139,ENJ ,SGD Buy Instant Order,4.34526,1.14722709,2021-11-08 19:40:30,5,
134,ENJ ,SGD Buy Instant Order,4.18177,1.19207895,2021-11-09 22:02:36,5,
94,ENJ ,SGD Buy Instant Order,4.8849,1.01332678,2021-12-01 00:28:28,5,
89,ENJ ,SGD Buy Instant Order,4.72678,1.04722453,2021-12-02 08:26:57,5,
79,ENJ ,SGD Buy Instant Order,4.10122,1.20695792,2021-12-04 09:08:15,5,
66,ENJ ,SGD Buy Instant Order,3.91006,1.26596522,2021-12-05 22:35:05,5,
60,ENJ ,SGD Buy Instant Order,3.48192,1.42162944,2021-12-06 21:29:24,5,
5,ENJ ,SGD Buy Instant Order,2.02119,2.44905229,2022-01-25 20:52:20,5,
29,ETH,ETH Swap Instant Order,,0.00092531,2021-12-29 01:02:13,,
51,ETH ,SGD Buy Instant Order,5520.63,0.00089663,2021-12-12 22:45:02,5,
10,ETH ,SGD Buy Instant Order,3304.82,0.00149781,2022-01-23 10:05:03,5,
153,FTM ,SGD Buy Instant Order,3.78537,1.30766609,2021-11-02 22:13:06,5,
157,FTM ,SGD Buy Instant Order,3.78537,1.30766609,2021-11-02 22:13:06,5,
56,FTM ,SGD Buy Instant Order,2.0588,2.40431319,2021-12-09 23:24:58,5,
16,FTM ,SGD Buy Instant Order,2.82645,1.75131348,2022-01-23 10:01:57,5,
0,FTM ,SGD Buy Instant Order,3.04245,1.62697825,2022-01-27 07:05:35,5,
121,GRT,GRT Swap Instant Order,,2.82990169,2021-11-22 21:01:03,,
128,GRT ,SGD Buy Instant Order,1.30388,3.79636162,2021-11-19 23:49:20,5,
101,ICP,ICP Swap Instant Order,,0.15002065,2021-11-29 22:15:02,,
117,KSM ,SGD Buy Instant Order,472.43,0.01047774,2021-11-25 23:59:40,5,
115,KSM ,SGD Buy Instant Order,431.615,0.01146855,2021-11-26 16:47:30,5,
72,KSM ,SGD Buy Instant Order,418.233,0.0118355,2021-12-04 22:43:58,5,
67,KSM ,SGD Buy Instant Order,404.395,0.0122405,2021-12-05 22:34:42,5,
42,KSM ,SGD Buy Instant Order,379.834,0.013032,2021-12-24 01:00:38,5,
141,LINK,LINK Swap Instant Order,,0.09411306,2021-11-06 19:20:50,,
35,LRC ,SGD Buy Instant Order,2.94536,1.6806095,2021-12-28 12:10:44,5,
25,LRC ,SGD Buy Instant Order,2.77461,1.78403451,2021-12-29 21:17:15,5,
22,LRC ,SGD Buy Instant Order,2.83655,1.74507764,2022-01-03 00:26:22,5,
14,LRC ,SGD Buy Instant Order,1.03235,4.79488545,2022-01-23 10:03:19,5,
120,LUNA,LUNA Swap Instant Order,,0.07558185,2021-11-22 21:07:09,,
17,LUNA,LUNA Swap Instant Order,,0.03496039,2022-01-07 02:35:26,,
126,LUNA ,SGD Buy Instant Order,59.0752,0.08379149999999999,2021-11-20 00:31:46,5,
124,LUNA ,SGD Buy Instant Order,56.8124,0.08730488,2021-11-22 11:42:00,5,
31,LUNA ,SGD Buy Instant Order,117.226,0.04222612,2021-12-29 00:50:33,5,
13,LUNA ,SGD Buy Instant Order,89.5557,0.05527286,2022-01-23 10:03:40,5,
1,LUNA ,SGD Buy Instant Order,86.229,0.05740528,2022-01-26 20:33:55,5,
68,MANA,MANA Swap Instant Order,,2.22850831,2021-12-05 01:26:28,,
146,MANA ,SGD Buy Instant Order,4.12966,1.19864589,2021-11-04 00:39:57,5,
65,MANA ,SGD Buy Instant Order,5.11822,0.9671331,2021-12-05 22:40:02,5,
64,MANA ,SGD Buy Instant Order,4.97408,0.9951589,2021-12-05 23:20:25,5,
61,MANA ,SGD Buy Instant Order,4.67883,1.05795679,2021-12-06 21:29:04,5,
119,MATIC,MATIC Swap Instant Order,,1.96745928,2021-11-22 21:12:22,,
151,MKR ,SGD Buy Instant Order,4405.3,0.00112364,2021-11-03 19:36:09,5,
155,MKR ,SGD Buy Instant Order,4405.3,0.00112364,2021-11-03 19:36:09,5,
71,MKR ,SGD Buy Instant Order,3561.01,0.00139005,2021-12-04 22:44:22,5,
48,MKR ,SGD Buy Instant Order,3127.22,0.00158287,2021-12-17 18:39:06,5,
37,MKR ,SGD Buy Instant Order,3542.56,0.00139729,2021-12-28 11:46:23,5,
32,MKR ,SGD Buy Instant Order,3450.85,0.00143442,2021-12-28 18:46:33,5,
23,MKR ,SGD Buy Instant Order,3192.54,0.00155048,2022-01-01 21:55:20,5,
2,MKR ,SGD Buy Instant Order,2445.34,0.00202425,2022-01-26 20:31:30,5,
136,NANO ,SGD Buy Instant Order,7.92427,0.62908002,2021-11-08 19:49:56,5,
127,NANO ,SGD Buy Instant Order,7.78757,0.63562831,2021-11-19 23:50:26,5,
122,NANO ,SGD Buy Instant Order,7.19237,0.68822933,2021-11-22 20:29:40,5,
110,NANO ,SGD Buy Instant Order,6.47592,0.76437015,2021-11-28 14:09:29,5,
152,NEAR ,SGD Buy Instant Order,14.4466,0.34264117,2021-11-02 22:13:50,5,
156,NEAR ,SGD Buy Instant Order,14.4466,0.34264117,2021-11-02 22:13:50,5,
114,OMG ,SGD Buy Instant Order,11.1793,0.44278264,2021-11-26 22:47:39,5,
111,OMG ,SGD Buy Instant Order,10.6854,0.46324891,2021-11-28 10:49:32,5,
108,OMG ,SGD Buy Instant Order,10.7931,0.45862634,2021-11-28 14:45:04,5,
70,OMG ,SGD Buy Instant Order,8.83538,0.56024755,2021-12-04 22:44:48,5,
47,OMG ,SGD Buy Instant Order,7.68397,0.64419824,2021-12-20 22:21:26,5,
34,OMG ,SGD Buy Instant Order,8.92636,0.55453734,2021-12-28 15:12:37,5,
27,OMG ,SGD Buy Instant Order,8.30729,0.59586218,2021-12-29 21:13:49,5,
12,OMG ,SGD Buy Instant Order,5.84567,0.8467806,2022-01-23 10:04:11,5,
98,RUNE,RUNE Swap Instant Order,,0.29174013,2021-11-30 07:43:18,,
81,RUNE ,SGD Buy Instant Order,14.1911,0.34881016,2021-12-03 23:05:17,5,
147,SAND ,SGD Buy Instant Order,4.37469,1.13150874,2021-11-04 00:34:46,5,
54,SAND ,SGD Buy Instant Order,6.83455,0.72426129,2021-12-11 17:37:16,5,
28,SHIB,SHIB Swap Instant Order,,9636.30695943,2021-12-29 01:03:16,,
18,SNX,SNX Swap Instant Order,,0.45780906,2022-01-07 02:31:33,,
88,SNX ,SGD Buy Instant Order,10.0074,0.49463397,2021-12-02 08:47:12,5,
9,SNX ,SGD Buy Instant Order,5.25053,0.94276196,2022-01-23 10:05:37,5,
137,UNI ,SGD Buy Instant Order,34.9977,0.14243793,2021-11-08 19:47:25,5,
129,UNI ,SGD Buy Instant Order,28.8421,0.17162411,2021-11-19 22:01:21,5,
57,VET ,SGD Buy Instant Order,0.12467,39.70482072,2021-12-09 17:46:48,5,
19,YFI,YFI Swap Instant Order,,6.446e-05,2022-01-06 07:28:36,,
112,YFI ,SGD Buy Instant Order,39375.6,0.00012571,2021-11-28 10:48:18,5,
84,YFI ,SGD Buy Instant Order,38973.65,0.000127,2021-12-02 20:16:41,5,
76,YFI ,SGD Buy Instant Order,31716.84,0.00015606,2021-12-04 15:35:35,5,
36,YFI ,SGD Buy Instant Order,41471.25,0.00011935,2021-12-28 11:50:39,5,
33,YFI ,SGD Buy Instant Order,40655.88,0.00012175,2021-12-28 18:45:17,5,
15,YFI ,SGD Buy Instant Order,32077.85,0.00015431,2022-01-23 10:02:15,5,
73,ZEC,ZEC Swap Instant Order,,0.01540468,2021-12-04 16:33:18,,
78,ZEC ,SGD Buy Instant Order,277.246,0.01785418,2021-12-04 09:12:08,5,
